Tier 1:     J. Taylor, C. McCaffrey, A. Ekeler, D. Cook
Tier 2:     N. Harris, C. Kupp, D. Henry, J. Jefferson, J. Mixon, T. Kelce, J. Chase, D. Swift
Tier 3:     S. Diggs, D. Adams, A. Jones, C. Lamb, S. Barkley, L. Fournette
Tier 4:     M. Andrews, M. Evans, A. Kamara, T. Hill, Javo. Williams, K. Allen, D. Samuel, N. Chubb
Tier 5:     T. Higgins, M. Pittman Jr., A. Brown, D. Moore, J. Conner, D. Johnson, E. Elliott
Tier 6:     K. Pitts, J. Allen, D. Montgomery, J. Waddle, C. Akers, T. Etienne Jr., T. McLaurin
Tier 7:     B. Hall, B. Cooks, J. Herbert, G. Kittle, A. Gibson, D. Metcalf, M. Williams, P. Mahomes, C. Sutton
Tier 8:     J. Jacobs, D. Waller, L. Jackson, M. Brown, J. Dobbins, E. Mitchell, A. Cooper, A. Robinson II
Tier 9:     A. Dillon, D. Mooney, J. Jeudy, R. Bateman, K. Murray
Tier 10:     M. Sanders, C. Godwin, A. St. Brown, D. Schultz, J. Smith-Schuster, J. Hurts, C. Edwards-Helaire, C. Edmonds, K. Hunt, M. Thomas
Tier 11:     E. Moore, T. Hockenson, J. Burrow, D. Harris, A. Thielen, T. Pollard, G. Davis
Tier 12:     D. Singletary, R. Penny, T. Brady, D. Prescott, D. Smith, R. Wilson, C. Patterson, D. Goedert, H. Renfrow, M. Gordon III, T. Lockett
Tier 13:     K. Walker III, R. Stevenson, Z. Ertz, M. Stafford, D. London, B. Aiyuk, C. Kirk, D. Hopkins
Tier 14:     A. Rodgers, R. Woods, A. Lazard, M. Carter, J. Cook, T. Lance, P. Freiermuth, K. Toney, T. Burks
Tier 15:     C. Claypool, N. Hines, R. Gage, D. Carr, C. Kmet, A. Mattison, K. Cousins, J. Meyers, R. Jones II
Tier 16:     J. McKissic, T. Boyd, D. Knox, D. Henderson Jr., M. Gesicki, G. Wilson, C. Olave
Tier 17:     J. Robinson, J. Landry, D. Pierce
Tier 18:     K. Gainwell, R. Moore, K. Golladay, T. Tagovailoa, S. Moore, M. Gallup, H. Henry, I. Spiller, M. Valdes-Scantling, D. Parker, N. Fant
Tier 19:     J. Fields, I. Smith Jr., R. Mostert, Jama. Williams, A. Okwuegbunam
Tier 20:     T. Patrick, R. Tonyan, K. Herbert, T. Lawrence, D.J. Chark Jr., T. Higbee, G. Everett, G. Edwards, T. Allgeier, C. Davis, D. Njoku, D. Williams, R. White, Bills DST, Buccaneers DST
Tier 21:     M. Mack, E. Engram, M. Ryan, S. Michel, J. Dotson, Jame. Williams, D. Watson, C. Watson, 49ers DST, Colts DST
Tier 22:     J. Winston, M. Hardman, R. Anderson, M. Ingram II, V. Jefferson, R. Tannehill, L. Thomas, D. Foreman, J. Crowder, A. Hooper, J. Tucker, Broncos DST, J. Jones, Saints DST, Patriots DST
Tier 23:     M. Jones Jr., M. Jones, N. Collins, S. Shepard, Rams DST, J. Palmer, T. Bass, J. White
Tier 24:     D. Jones, Z. Wilson, G. Pickens, B. Robinson Jr., M. Gay
Tier 25:     K. Bourne, K. Drake, H. Hurst, K.J. Osborn, C. Samuel
